name,category,price_tier,neighborhood,open_start,open_end,average_rating,good_for_kids,customer_review
justo in blandit,Chinese,Medium,Downtown,12:45:46.000,19:32:30.000,4.0,0,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus."
nec nisi vulputate,Spanish,Cheap,Manhattan,15:56:13.000,21:22:49.000,1.9,1,
in blandit ultrices,Thai,Cheap,Greenwich Village,11:44:50.000,18:10:49.000,4.2,1,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
sapien cum,American,Medium,Williamsburg,16:04:25.000,13:08:50.000,1.2,0,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
pellentesque viverra,American,Expensive,Staten Island,16:32:12.000,16:40:23.000,3.6,1,
at dolor,Chinese,Expensive,Greenwich Village,17:25:16.000,22:05:25.000,3.6,1,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
metus sapien,American,Medium,Jackson Heights,20:09:24.000,16:26:00.000,5.0,1,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
ac neque duis,American,Expensive,Downtown,20:14:47.000,8:40:53.000,2.3,0,
dictumst maecenas,Mexican,Medium,Staten Island,21:44:17.000,23:37:43.000,3.8,0,
mattis nibh ligula,Japanese,Expensive,Greenwich Village,15:51:23.000,10:01:53.000,4.1,0,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
vestibulum,Chinese,Expensive,Harlem,12:12:25.000,17:00:40.000,3.6,0,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
aliquam augue quam,French,Expensive,Downtown,16:25:34.000,21:38:48.000,2.2,1,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
neque,Japanese,Medium,Upper West Side,11:52:18.000,23:11:40.000,1.6,0,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat."
proin,Japanese,Cheap,Upper East Side,15:20:47.000,16:59:15.000,3.0,0,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
mi,American,Cheap,Staten Island,16:05:02.000,18:31:33.000,3.8,0,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
ante,French,Medium,Flushing,16:20:02.000,12:03:10.000,3.7,0,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
ligula nec sem,Chinese,Expensive,Upper West Side,12:23:24.000,16:42:13.000,2.0,1,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
posuere cubilia curae,Spanish,Expensive,Upper West Side,17:10:17.000,12:37:17.000,2.6,0,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi."
ac nulla,Indian,Medium,Manhattan,19:13:34.000,20:12:17.000,1.4,0,
dapibus,French,Medium,Astoria,19:59:32.000,17:16:20.000,1.3,0,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum."
primis in faucibus,Indian,Cheap,Harlem,11:42:04.000,11:29:27.000,4.7,0,
commodo placerat praesent,Italian,Medium,Harlem,11:35:59.000,21:50:10.000,3.7,0,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
ligula suspendisse,Thai,Medium,Upper West Side,11:35:56.000,20:51:54.000,2.6,1,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque."
vestibulum velit id,Greek,Cheap,Brooklyn,19:49:55.000,23:26:10.000,1.6,0,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
viverra,Japanese,Expensive,Greenwich Village,15:59:38.000,11:34:51.000,2.1,1,
tempus,Mexican,Medium,East Village,20:58:21.000,11:09:00.000,1.3,0,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
at,Japanese,Cheap,Astoria,16:19:46.000,16:14:00.000,2.4,0,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
nec sem,Chinese,Medium,Downtown,12:44:12.000,18:12:20.000,1.6,0,
justo,Chinese,Expensive,Jackson Heights,13:21:34.000,14:56:42.000,2.6,1,
vivamus,Indian,Cheap,Flushing,17:06:16.000,23:41:40.000,2.1,1,
tempus semper est,American,Medium,Upper East Side,13:39:55.000,19:22:19.000,3.7,1,
et,Spanish,Medium,Williamsburg,19:52:45.000,9:57:20.000,1.1,0,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
ligula,Mexican,Expensive,Staten Island,20:37:43.000,20:57:38.000,4.4,0,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
curae mauris viverra,Japanese,Expensive,Jackson Heights,17:40:42.000,16:20:31.000,3.5,0,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
